estado,x,y
Aguascalientes,-24,-47
Baja California,-289,157
Baja California Sur,-239,41
Campeche,247,-118
Chiapas,194,-175
Chihuahua,-107,109
Mexico,45,-114
Coahuila,-16,76
Colima,-63,-117
Durango,-81,16
Guanajuato,6,-78
Guerrero,31,-155
Hidalgo,51,-83
Jalisco,-61,-96
Mexico,33,-110
Michoacan,-11,-111
Morelos,50,-126
Nayarit,-82,-54
Nuevo Leon,34,33
Oaxaca,105,-171
Puebla,77,-126
Queretaro,32,-76
Quintana Roo,290,-99
San Luis Potosi,19,-38
Sinaloa,-135,24
Sonora,-193,127
Tabasco,192,-133
Tamaulipas,61,-5
Tlaxcala,70,-110
Veracruz,137,-135
Yucatan,274,-65
Zacatecas,-34,-11
